sys_time,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,movement_events
1763026867.585969,-6,4,-3,-5547,-2151,-5511,0
1763026867.585969,-14,16,-5,-5554,-2175,-5541,0
1763026867.585969,-26,14,1,-5568,-2185,-5572,0
1763026867.585969,-14,33,12,-5554,-2156,-5505,0
1763026867.628327,-19,68,24,-5540,-2162,-5490,0
1763026867.628327,-31,58,28,-5548,-2145,-5524,0
1763026867.628327,-30,21,11,-5569,-2122,-5534,0
1763026867.628327,-46,25,6,-5581,-2126,-5515,0
1763026867.628327,-56,51,9,-5584,-2116,-5523,0
1763026867.673331,-61,65,4,-5570,-2123,-5522,0
1763026867.673331,-69,74,0,-5555,-2132,-5524,0
1763026867.673331,-70,72,-4,-5546,-2144,-5531,0
1763026867.673331,-69,68,-8,-5537,-2143,-5506,0
1763026867.673331,-68,56,-4,-5530,-2150,-5500,0
1763026867.718467,-60,43,1,-5538,-2150,-5512,0
1763026867.718467,-48,24,6,-5541,-2147,-5500,0
1763026867.718467,-40,15,12,-5542,-2149,-5481,0
1763026867.718467,-38,7,15,-5551,-2153,-5502,0
1763026867.718467,-35,12,8,-5569,-2150,-5513,0
1763026867.720464,-34,22,3,-5566,-2160,-5509,0
1763026867.720464,-31,37,3,-5553,-2153,-5518,0
1763026867.720464,-27,44,13,-5531,-2142,-5536,0
1763026867.720464,-25,45,19,-5514,-2143,-5532,0
1763026867.720464,-19,44,18,-5508,-2141,-5542,0
1763026867.806262,-18,32,15,-5501,-2149,-5527,0
1763026867.806262,-19,9,7,-5495,-2144,-5519,0
1763026867.806262,-17,-23,2,-5495,-2143,-5517,0
1763026867.806262,-15,-40,-12,-5503,-2153,-5517,0
1763026867.806262,-22,-41,-23,-5532,-2165,-5550,0
1763026867.808801,-16,-24,-29,-5545,-2150,-5523,0
1763026867.808801,-6,12,-27,-5525,-2160,-5498,0
1763026867.808801,-15,-23,-18,-5525,-2159,-5529,0
1763026867.808801,-14,-74,-15,-5545,-2144,-5545,0
1763026867.808801,-16,-81,-15,-5549,-2148,-5527,0
1763026867.853241,-28,-50,-12,-5555,-2145,-5522,0
1763026867.853241,-27,-36,-18,-5571,-2132,-5536,0
1763026867.853241,-37,-39,-21,-5560,-2126,-5537,0
1763026867.853241,-51,-31,-22,-5547,-2127,-5519,0
1763026867.853241,-57,-16,-20,-5555,-2136,-5521,0
1763026867.89697,-63,-7,-25,-5567,-2154,-5513,0
1763026867.89697,-73,2,-38,-5576,-2170,-5494,0
1763026867.89697,-81,11,-49,-5588,-2162,-5486,0
1763026867.89697,-84,22,-50,-5586,-2159,-5498,0
1763026867.89697,-80,49,-47,-5578,-2150,-5510,0
1763026867.941978,-70,66,-42,-5550,-2151,-5509,0
1763026867.941978,-62,65,-27,-5523,-2142,-5500,0
1763026867.941978,-54,48,-17,-5501,-2140,-5517,0
1763026867.941978,-41,20,-14,-5498,-2148,-5520,0
1763026867.941978,-39,-8,-21,-5507,-2148,-5506,0
1763026867.988351,-32,-29,-30,-5512,-2150,-5488,0
1763026867.988351,-28,-44,-36,-5526,-2155,-5508,0
1763026867.988351,-26,-60,-46,-5542,-2155,-5512,0
1763026867.988351,-32,-64,-50,-5562,-2144,-5508,0
1763026867.988351,-35,-50,-52,-5580,-2152,-5500,0
1763026868.032627,-35,-30,-54,-5583,-2159,-5513,0
1763026868.032627,-38,-8,-56,-5588,-2178,-5546,0
1763026868.032627,-39,3,-56,-5578,-2155,-5535,0
1763026868.032627,-24,23,-48,-5542,-2139,-5482,0
1763026868.032627,-25,11,-15,-5538,-2153,-5517,0
1763026868.079074,-20,-39,-6,-5565,-2144,-5547,0
1763026868.079074,-15,-43,-10,-5583,-2155,-5524,0
1763026868.079074,-27,8,1,-5581,-2171,-5515,0
1763026868.079074,-31,40,12,-5582,-2176,-5515,0
1763026868.079074,-32,40,17,-5572,-2180,-5501,0
1763026868.123998,-49,24,16,-5559,-2171,-5525,0
1763026868.123998,-61,3,8,-5570,-2164,-5535,0
1763026868.123998,-72,0,1,-5553,-2160,-5511,0
1763026868.123998,-80,21,0,-5551,-2162,-5513,0
1763026868.123998,-78,39,2,-5527,-2168,-5517,0
1763026868.168339,-71,29,-2,-5497,-2158,-5518,0
1763026868.168339,-65,-5,-16,-5485,-2136,-5504,0
1763026868.168339,-60,-55,-32,-5483,-2118,-5499,0
1763026868.168339,-53,-83,-48,-5502,-2137,-5495,0
1763026868.168339,-48,-83,-59,-5514,-2155,-5489,0
1763026868.213034,-38,-65,-72,-5525,-2169,-5463,0
1763026868.213034,-26,-31,-88,-5534,-2206,-5445,0
1763026868.213034,-27,-41,-95,-5551,-2224,-5468,0
1763026868.213034,-24,-66,-103,-5596,-2219,-5507,0
1763026868.213034,-10,-55,-97,-5620,-2211,-5516,0
1763026868.257849,-16,-14,-70,-5597,-2206,-5495,0
1763026868.257849,-26,14,-47,-5570,-2197,-5506,0
1763026868.257849,-28,23,-40,-5549,-2197,-5539,0
1763026868.257849,-32,29,-38,-5525,-2181,-5539,0
1763026868.257849,-52,27,-24,-5505,-2156,-5547,0
1763026868.303088,-54,28,-5,-5491,-2136,-5560,0
1763026868.303088,-49,10,7,-5505,-2109,-5571,0
1763026868.303088,-50,-21,11,-5531,-2100,-5503,0
1763026868.303088,-61,-52,0,-5581,-2095,-5452,0
1763026868.303088,-83,-99,-38,-5657,-2128,-5376,0
1763026868.305333,-101,-132,-84,-5774,-2177,-5375,0
1763026868.305333,-114,-142,-140,-5894,-2197,-5400,0
1763026868.305333,-153,-94,-180,-5933,-2179,-5404,0
1763026868.305333,-174,18,-179,-5891,-2142,-5513,0
1763026868.305333,-154,197,-126,-5741,-2068,-5595,0
1763026868.348099,-108,419,-7,-5498,-2029,-5610,0
1763026868.348099,-43,547,133,-5243,-2021,-5655,0
1763026868.348099,48,488,234,-5050,-2044,-5650,0
1763026868.348099,108,253,268,-4932,-2096,-5488,0
1763026868.348099,118,-74,210,-4978,-2170,-5407,0
1763026868.436083,124,-447,49,-5175,-2222,-5424,0
1763026868.436083,90,-702,-137,-5427,-2239,-5345,0
1763026868.436083,27,-718,-270,-5703,-2220,-5447,0
1763026868.436083,3,-555,-314,-5884,-2171,-5582,0
1763026868.436083,7,-288,-258,-5909,-2112,-5538,0
1763026868.43825,4,4,-125,-5853,-2109,-5562,0
1763026868.43825,24,173,-6,-5775,-2160,-5600,0
1763026868.43825,26,237,54,-5695,-2239,-5482,0
1763026868.43825,-10,246,75,-5607,-2319,-5426,0
1763026868.43825,-39,217,49,-5570,-2352,-5472,0
1763026868.483465,-49,187,8,-5537,-2320,-5463,0
1763026868.483465,-69,194,-17,-5494,-2230,-5523,0
1763026868.483465,-64,176,-26,-5448,-2121,-5561,0
1763026868.483465,-48,137,-17,-5385,-2074,-5519,0
1763026868.483465,-33,60,6,-5364,-2083,-5529,0
1763026868.527649,-5,-42,-1,-5400,-2143,-5523,0
1763026868.527649,19,-140,-33,-5458,-2201,-5473,0
1763026868.527649,22,-202,-66,-5539,-2241,-5434,0
